SOG,COG,Heading,LON,LAT,Cluster
9.2,307.9,307,-89.82022,29.58925,2
0.0,0.0,0,-82.44264,27.91484,0
12.3,60.8,76,-79.81397,26.16111,0
11.9,60.1,60,-95.77385,27.85202,1
7.6,169.5,511,-90.22064,29.13571,2
0.5,257.9,221,-96.33955,27.56485,2
0.1,189.6,190,-80.07551,26.1181,0
0.0,0.0,0,-95.27639,29.73351,1
0.0,0.0,0,-89.97239,29.25463,1
13.4,210.6,217,-89.31873,29.04495,2
0.0,0.0,0,-94.531,29.30576,1
13.0,89.7,88,-83.37802,23.66178,0
17.0,39.0,39,-90.09048,28.10023,1
0.0,0.0,0,-80.25602,25.80405,0
10.4,337.1,511,-94.77853,29.35246,2
13.4,95.3,97,-85.00577,27.60947,0
0.0,0.0,0,-90.20477,29.1437,1
4.9,269.9,276,-93.33127,29.78404,2
15.9,325.2,329,-78.92094,29.6799,2
2.7,249.4,275,-79.99791,26.12107,0
